Product Name,Product URL,Page No
"14 inch 2MM Embedded IP54 Industrial Panel PC,All in One Computer,10 Points Capacitive Touch,Windows 7/10,Linux,Intel Core I5,(Black),[HUNSN WD09],[2RS232/VGA/HDMI/LAN/4USB2],(8G RAM/128G SSD)",https://www.amazon.fr/Embedded-Industrial-Computer-Capacitive-HUNSN/dp/B07P9Z5PTF/ref=sr_1_19?dchild=1&qid=1614792935&s=computers&sr=1-19,1
Intel NUC (BXNUC10I5FNK2) i5-10210/2*SDR4/M.2/UHD*2950,https://www.amazon.fr/Intel-BXNUC10I5FNK2-i5-10210-SDR4-2950/dp/B0874T64TH/ref=sr_1_20?dchild=1&qid=1614792935&s=computers&sr=1-20,1
"INTEL NUC Barebone BOXNUC8i3BEH Core i3-8109U - 2 x DDR4 So-DIMM Max. 32 Go - 1 x SATA 6,35 cm 2,5"" - 1 x M.2 22x42/80 NO-Cord",https://www.amazon.fr/Intel-NUC8i3BEH-1528-i3-8109U-UCFF/dp/B07JBYMQXQ/ref=sr_1_21?dchild=1&qid=1614792935&s=computers&sr=1-21,1
"HSIPC New Celeron J3160 Quad Core Firewall Micro Appliance, Mini PC, Nano PC, Router PC with 8G RAM 128G SSD, 4 RJ45 Port AES-NI PXE Pfsense OPNsense",https://www.amazon.fr/HSIPC-Celeron-Firewall-Appliance-OPNsense/dp/B08PNMHVZH/ref=sr_1_22?dchild=1&qid=1614792935&s=computers&sr=1-22,1
"Sedatech PC Pro Gamer AMD Ryzen 7 3800X 8X 3.9Ghz, Geforce RTX 3060 12Go, 16Go RAM DDR4, 480Go SSD, 2To HDD, USB 3.1, WiFi. Unité Centrale, Win 10",https://www.amazon.fr/Sedatech-Gamer-3-9Ghz-Geforce-Centrale/dp/B08XNYHKZK/ref=sr_1_23?dchild=1&qid=1614792935&s=computers&sr=1-23,1
"Intel Next Unit of Computing Kit NUC8i3BEK - Barebone - Mini PC - 1 x Core i3 8109U / 3 GHz - RAM 0 Go - Iris Plus Graphics 655 - GigE - LAN sans Fil: 802.11a/b/g/n/AC, Bluetooth 5.0",https://www.amazon.fr/Intel-Home-1528-i3-8109U-UCFF/dp/B07JW4X5TL/ref=sr_1_24?dchild=1&qid=1614792935&s=computers&sr=1-24,1
"HUNSN Firewall,Mikrotik,Pfsense,VPN,Network Security Micro Appliance,Router PC,Intel Celeron N2940,(Black),RH02,Fanless/WiFi/VGA/HDMI/2USB3.0/4* I211AT Gigabit Ethernet Nics,(4G RAM/32G SSD)",https://www.amazon.fr/HUNSN-Firewall-Mikrotik-Security-Appliance/dp/B08JBJMHG2/ref=sr_1_25?dchild=1&qid=1614792937&s=computers&sr=1-25,2
"Thomson AIO24I3-4GR128 Ordinateur Tout-en-Un - 23,6'' - Ecran Full HD IPS - Curved - Intel Core I3 - Windows 10 S - 4 Go Ram - 128 Go Stockage - Inclus : Clavier + Souris",https://www.amazon.fr/Thomson-AIO24I3-4GR128-Ordinateur-Tout-en-Stockage/dp/B083QZKW8Y/ref=sr_1_26?dchild=1&qid=1614792937&s=computers&sr=1-26,2
"HUNSN Firewall,Mikrotik,Pfsense,VPN,Network Security Micro Appliance,Router PC,Intel Core I5 8265U,(Black),RM02,NES-NI/HDMI/COM/RJ45 RS232/4USB3.0/6 I211AT Gigabit Nics/Fanless,(DDR4 8G RAM/256G SSD)",https://www.amazon.fr/HUNSN-Firewall-Mikrotik-Security-Appliance/dp/B08JHLPZ6Q/ref=sr_1_27?dchild=1&qid=1614792937&s=computers&sr=1-27,2
"Sedatech Pack PC Pro Gamer Watercooling AMD Ryzen 7 3800X 8X 3.9Ghz, Geforce RTX 3060 12Go, 16Go RAM DDR4, 500Go SSD NVMe M.2 PCIe, 2To HDD, WiFi, Bluetooth, Moniteur, Clavier/Souris, Win 10",https://www.amazon.fr/Sedatech-Watercooling-Geforce-Bluetooth-Moniteur/dp/B08XNYNL6K/ref=sr_1_28?dchild=1&qid=1614792937&s=computers&sr=1-28,2
"HUNSN 4K Mini PC,Desktop Computer,Intel Quad Core I7 7820HK/7820HQ,Windows 10 Pro/Linux Ubuntu,BM21,AC WiFi2.4+5Ghz/BT/DP/HDMI/6USB3.0/Type-C/LAN/Smart Silent Fan,(16G RAM DDR4/256G SSD)",https://www.amazon.fr/HUNSN-Desktop-Computer-Windows-WiFi2-4/dp/B08G1C134L/ref=sr_1_29?dchild=1&qid=1614792937&s=computers&sr=1-29,2
"HUNSN Fanless Mini PC,Desktop Computer,HTPC,Kodi Box,Intel Core I5 7200U,Windows 10 Pro/Linux Ubuntu,BM01,AC WiFi2.4+5Ghz/BT4.0/VGA/HDMI/4USB3.0/2USB2.0/LAN,(16G RAM/512G SSD)",https://www.amazon.fr/HUNSN-Fanless-Desktop-Computer-Windows/dp/B08FZ389F6/ref=sr_1_30?dchild=1&qid=1614792937&s=computers&sr=1-30,2
"HUNSN Firewall,Mikrotik,Pfsense,VPN,Network Security Micro Appliance,Router PC,Intel Core I5 4200U,(Black),RM02,NES-NI/HDMI/COM/RJ45 RS232/4USB3.0/6 Intel I211AT Gigabit Nics/Fanless,(8G RAM/128G SSD)",https://www.amazon.fr/HUNSN-Firewall-Mikrotik-Security-Appliance/dp/B08JBYHMXL/ref=sr_1_31?dchild=1&qid=1614792937&s=computers&sr=1-31,2
"HSIPC Celeron J3160 Quad Core Firewall Micro Appliance, Mini PC, Nano PC, Router PC, 4 RJ45 Port AES-NI PXE Pfsense OPNsense Barebone System",https://www.amazon.fr/HSIPC-Firewall-Appliance-OPNsense-Barebone/dp/B08C9XBDRM/ref=sr_1_32?dchild=1&qid=1614792937&s=computers&sr=1-32,2
"Intel Next Unit of Computing Kit NUC7CJYH - Barebone - Mini PC - 1 x Celeron J4005 / 2 GHz - HD Graphics 600 - GigE, Bluetooth 5.0 - LAN sans Fil: 802.11a/b/g/n/AC, Bluetooth 5.0 - Technologie Intel",https://www.amazon.fr/Intel-NUC7CJYH-1090-2GHz-J4005/dp/B07BVMGV34/ref=sr_1_33?dchild=1&qid=1614792937&s=computers&sr=1-33,2
"HUNSN Fanless Mini PC,Desktop Computer,HTPC,Kodi Box,Windows 10/Linux Ubuntu,Intel Core I5 8250U/8259U/8265U/8350U,BM07,AC WiFi/BT4.0/VGA/HDMI/4USB3.0/4USB2.0/LAN,(16G DDR4 RAM/128G SSD/1TB HDD)",https://www.amazon.fr/Fanless-Windows-HUNSN-4USB3-0-4USB2-0/dp/B07GPGJ3VB/ref=sr_1_34?dchild=1&qid=1614792937&s=computers&sr=1-34,2
"G-MOTIONS PC Gamer CERBERE • Intel i3 9100F 4 X 3.99 Ghz • GeForce 1030 • 8Go DDR4 • 120Go SSD • 1To • Win• WiFi•Pack avec écran 24"", Clavier, Souris, écouteur",https://www.amazon.fr/G-MOTIONS-CERBERE-GeForce-WiFi%E2%80%A2Pack-%C3%A9couteur/dp/B08S39FQWZ/ref=sr_1_35?dchild=1&qid=1614792937&s=computers&sr=1-35,2
"Mini PC Beelink GT-R avec 16G DDR4 512G SSD 1 to HDD Win 10 Pro Processeur AMD Ryzen 5 3550H (jusqu'à 3,7 GHz) Ordinateur de Bureau Graphique Radeon Vega 8 WiFi 6 Bluetooth 5.0 USB 3.0, 2 Ports HDMI",https://www.amazon.fr/Mini-PC-Beelink-GT-R-512G/dp/B08C9FM9HF/ref=sr_1_36?dchild=1&qid=1614792937&s=computers&sr=1-36,2
